ranking,easy,medium,hard,acceptance,weekly
5000001,1,2,1,100.0,4
,,,,,
2847606,16,7,0,30.0,
864577,60,72,3,45.0,0
,,,,,
,,,,,
5000001,0,1,3,5.0,
275294,98,200,42,45.0,0
,,,,,
,,,,,
1486236,11,23,36,25.0,5
417534,48,172,37,90.0,13
8578,272,624,340,75.0,0
666203,53,83,38,20.0,
319651,63,147,100,90.0,8
9925,270,687,236,80.0,40
5000001,0,0,0,0,
1372,470,999,483,90.0,5
1056062,36,64,9,50.0,13
230,686,1432,626,90.0,4
2345835,11,19,4,85.0,4
,,,,,
217094,78,252,62,90.0,
,,,,,
5000001,1,0,0,100.0,0
5000001,0,0,0,0,
5000001,0,0,0,0,
4274900,5,4,0,83.33,0
5000001,2,0,0,80.0,
4667384,6,1,0,25.0,
7669,424,747,103,85.0,71
,,,,,
5000001,1,0,0,100.0,
,,,,,
,,,,,
,,,,,
122959,203,289,32,85.0,20
5000001,0,0,0,0,
42333,237,448,102,60.0,9
1486238,25,42,3,45.0,14
5000001,0,4,0,71.43,
170442,120,286,41,50.0,14
43,842,1757,774,70.0,13
,,,,,
360,650,1367,567,80.0,39
22464,248,524,183,45.0,6
5000001,1,2,0,57.14,
2627791,4,11,12,35.0,
95430,28,273,282,100.0,0
,,,,,
188785,120,226,78,50.0,10
5000001,0,0,0,0,
251,664,1414,638,75.0,18
3050313,6,13,1,60.0,
5000001,0,0,0,0,
,,,,,
2730712,6,17,3,70.0,10
1077,295,1117,667,25.0,52
2179754,8,21,10,80.0,15
617,727,1255,370,80.0,34
450065,63,140,39,95.0,
5000001,0,0,0,0,
5000001,0,0,0,0,
1946825,19,22,5,10.0,
489505,55,148,25,55.0,16
832886,27,82,32,60.0,21
,,,,,
5000001,0,0,0,0,
37215,225,464,131,55.0,24
619152,58,109,20,40.0,10
16190,258,597,193,65.0,16
6993,316,691,297,40.0,11
5000001,0,0,0,0,
2022794,12,23,9,55.0,10
888173,41,60,31,50.0,8
,,,,,
,,,,,
,,,,,
,,,,,
5000001,0,0,0,0,
98053,170,342,65,70.0,31
2434,519,856,319,95.0,26
1547422,12,31,23,70.0,15
336,645,1322,643,70.0,11
2359061,7,20,7,50.0,29
249408,146,180,36,50.0,15
5000001,1,4,0,5.0,
1326,420,1043,505,50.0,12
5000001,0,0,0,0,
5000001,0,0,0,0,
5000001,0,0,0,0,
234577,156,212,8,75.0,136
2210578,15,19,4,30.0,16
211540,109,258,32,45.0,18
,,,,,
2359210,21,10,3,85.0,47
432972,97,143,10,45.0,51
524148,134,71,10,20.0,16
,,,,,
5000001,0,0,0,0,
5000001,0,0,0,0,
,,,,,
,,,,,
220053,127,227,36,70.0,4
415381,70,145,42,50.0,
,815,1772,775,95.0,43
1727859,15,35,6,60.0,12
2767,271,913,463,90.0,13
988,502,1154,458,60.0,11
469689,56,110,69,65.0,3
1360812,20,44,14,25.0,0
,,,,,
1028243,22,72,18,30.0,15
9701,309,651,239,50.0,7
,,,,,
5000001,0,0,0,0,
,,,,,
4904733,3,3,0,66.67,
4472,420,776,262,60.0,20
,,,,,
,,,,,
240419,116,180,74,70.0,5
,,,,,
,,,,,
,,,,,
,,,,,
2179692,9,27,4,85.0,13
5000001,1,2,0,75.0,4
402897,60,137,67,100.0,298
,,,,,
81204,214,348,61,45.0,4
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
5000001,0,0,0,0,
106206,122,318,120,75.0,26
,,,,,
5000001,0,0,0,0,
7793,338,730,200,80.0,0
,,,,,
951,565,1114,462,80.0,138
5000001,0,0,0,0,
136,715,1607,584,70.0,3
,,,,,
,,,,,
,,,,,
7616,670,513,93,80.0,46
,,,,,
,,,,,
687425,49,100,20,70.0,0
106480,174,324,59,65.0,48
1857688,16,26,8,65.0,6
283,644,1432,596,65.0,4
,,,,,
665609,51,105,19,60.0,6
,,,,,
,,,,,
1379123,19,48,10,45.0,5
1444453,25,43,4,75.0,
55048,168,410,143,95.0,15
185467,49,215,164,65.0,10
,,,,,
397815,130,114,22,30.0,5
5000001,0,0,0,0,
1107755,23,55,25,55.0,5
82250,135,302,183,45.0,5
17562,218,609,199,75.0,49
,,,,,
209709,91,250,59,80.0,
1320792,33,45,4,25.0,0
5000001,0,0,0,0,
39061,200,418,189,60.0,45
195472,132,238,47,75.0,27
,,,,,
,,,,,
,,,,,
5000001,1,0,0,7.14,
