ranking,easy,medium,hard,acceptance,weekly
5000001.0,1.0,2.0,1.0,100.0,4.0
864577.0,60.0,72.0,3.0,45.0,0.0
275294.0,98.0,200.0,42.0,45.0,0.0
1486236.0,11.0,23.0,36.0,25.0,5.0
417534.0,48.0,172.0,37.0,90.0,13.0
8578.0,272.0,624.0,340.0,75.0,0.0
319651.0,63.0,147.0,100.0,90.0,8.0
9925.0,270.0,687.0,236.0,80.0,40.0
1372.0,470.0,999.0,483.0,90.0,5.0
1056062.0,36.0,64.0,9.0,50.0,13.0
230.0,686.0,1432.0,626.0,90.0,4.0
2345835.0,11.0,19.0,4.0,85.0,4.0
5000001.0,1.0,0.0,0.0,100.0,0.0
4274900.0,5.0,4.0,0.0,83.33,0.0
7669.0,424.0,747.0,103.0,85.0,71.0
122959.0,203.0,289.0,32.0,85.0,20.0
42333.0,237.0,448.0,102.0,60.0,9.0
1486238.0,25.0,42.0,3.0,45.0,14.0
170442.0,120.0,286.0,41.0,50.0,14.0
43.0,842.0,1757.0,774.0,70.0,13.0
360.0,650.0,1367.0,567.0,80.0,39.0
22464.0,248.0,524.0,183.0,45.0,6.0
95430.0,28.0,273.0,282.0,100.0,0.0
188785.0,120.0,226.0,78.0,50.0,10.0
251.0,664.0,1414.0,638.0,75.0,18.0
2730712.0,6.0,17.0,3.0,70.0,10.0
1077.0,295.0,1117.0,667.0,25.0,52.0
2179754.0,8.0,21.0,10.0,80.0,15.0
617.0,727.0,1255.0,370.0,80.0,34.0
489505.0,55.0,148.0,25.0,55.0,16.0
832886.0,27.0,82.0,32.0,60.0,21.0
37215.0,225.0,464.0,131.0,55.0,24.0
619152.0,58.0,109.0,20.0,40.0,10.0
16190.0,258.0,597.0,193.0,65.0,16.0
6993.0,316.0,691.0,297.0,40.0,11.0
2022794.0,12.0,23.0,9.0,55.0,10.0
888173.0,41.0,60.0,31.0,50.0,8.0
98053.0,170.0,342.0,65.0,70.0,31.0
2434.0,519.0,856.0,319.0,95.0,26.0
1547422.0,12.0,31.0,23.0,70.0,15.0
336.0,645.0,1322.0,643.0,70.0,11.0
2359061.0,7.0,20.0,7.0,50.0,29.0
249408.0,146.0,180.0,36.0,50.0,15.0
1326.0,420.0,1043.0,505.0,50.0,12.0
234577.0,156.0,212.0,8.0,75.0,136.0
2210578.0,15.0,19.0,4.0,30.0,16.0
211540.0,109.0,258.0,32.0,45.0,18.0
